Α.Φ.Μ.,Στοιχεία Οφειλέτη,Διεύθυνση Έδρας,"Τ.Κ., Περιοχή","Βασική οφειλή Δ.Ο.Υ.,Ελεγκτικά Κέντρα",Βασική οφειλή Τελωνείων,Συνεισπραττόμενα Δημοσίου,Σύνολο Δημοσίου,Βασική οφειλή e-Ε.Φ.Κ.Α.,Συνεισπραττόμενα e-Ε.Φ.Κ.Α.,Σύνολο e-Ε.Φ.Κ.Α.,Παρατηρήσεις
095770065,ΑΝΤΑΙΑΣ ΨΥΧΑΓΩΓΙΚΗ ΤΟΥΡΙΣΤΙΚΗ,ΛΕΩΦ ΒΑΡΗΣ 5,16672 ΒΑΡΗ,-,-,-,-,"475.155,19","822.766,18","1.297.921,37",.
094112532,ΡΟΔΟΠΛΑΣΤ ΑΒΕΕ,ΔΕΚΕΛΕΙΑΣ 206,13671 ΑΧΑΡΝΕΣ,"581.432,51",-,"716.445,32","1.297.877,83",-,-,-,.
094086128,ΒΙΟΜΗΧΑΝΙΑ ΕΠΕΞΕΡΓΑΣΙΑΣΨΑΡΙΩΝ ΒΕΨ ΑΕ,ΑΝΕΖΑ 0,47100 ΑΡΤΑ,"377.255,21",-,"920.499,26","1.297.754,47",-,-,-,.
096038347,ΕΝΩΣΗ ΔΑΣΙΚΩΝ ΣΥΝΕΤΑΙΡΙΣΜΩΝ ΚΑΛΑΜΠΑΚΑΣ ΣΥΝΕΤΑΙΡΙΣΜΟΣ ΠΕΡΙΟΡΙΣΜΕΝΗΣ ΕΥΘΥΝΗΣ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΟΔΟΣ ΜΕΤΕΩΡΩΝ 0,42200 ΚΑΛΑΜΠΑΚΑ,"262.045,21",-,"523.765,42","785.810,63","176.891,50","334.978,66","511.870,16",.
094021947,ΕΛΛΗΝΙΚΗ ΒΙΟΜΗΧΑΝΙΑ ΚΡΕΑΤΟΣ ΑΒΕΕ,ΜΕΓ  ΚΑΛΥΒΙΑ 0,42030 ΜΕΓ ΚΑΛΥΒΙΑ,"429.282,21",-,"867.998,59","1.297.280,80",-,-,-,.
095600248,Θ ΣΦΗΚΑΣ ΕΜΠΟΡΙΑ ΕΙΔΩΝ ΟΙΚ ΧΡΗΣΗΣ ΚΑΙ ΣΥΜΕΤΟΧΩΝ ΑΕ,4ΧΛΜ Λ ΒΑΡΗΣ ΚΟΡΩΠΙΟΥ 0,19400 ΚΟΡΩΠΙ,"727.665,08",-,"215.482,76","943.147,84","274.225,00","79.723,38","353.948,38",.
082928498,ΛΑΖΑΡΟΣ ΚΕΛΕΤΖΗΣ ΝΙΚΟΛΑΟΣ ΑΓΓΕΛΟΠΟΥΛΟΣ ΚΑΙ ΣΙΑ ΟΕ,ΚΥΡΓΙΑ 0,66032 ΚΥΡΙΑ,"447.699,25",-,"848.322,21","1.296.021,46",-,-,-,.
095160877,ΛΑΤΑΣΦΑΛΤ ΕΠΕ ΥΠΟ ΕΚΚΑΘΑΡΙΣΗ,ΤΡΥΦΩΝΟΣ 8,59100 ΒΕΡΟΙΑ,"379.683,52",-,"916.244,91","1.295.928,43",-,-,-,.
998641440,BLK ΒΙΟΜΗΧΑΝΙΑ ΑΛΟΥΜΙΝΙΟΥ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ,11 ΧΛΜ ΕΟ ΑΘΗΝΩΝ ΛΑΜΙΑΣ  ΕΛΕΥΘΕΡΙΟΥ ΒΕΝΙΖΕΛΟΥ 43,14452 ΜΕΤΑΜΟΡΦΩΣΗ,"206.826,48",-,"187.191,12","394.017,60","454.736,19","447.158,57","901.894,76",.
095425350,ΠΕΤΡΕΛΑΙΟΒΙΟΕΝΕΡΓΕΙΑ ΕΠΕ,ΣΚΟΥΦΑ 38,12243 ΑΙΓΑΛΕΩ,"500,00","599.566,12","695.820,85","1.295.886,97",-,-,-,.
094228450,COMPUPRESS ΑΝΩΝΥΜΗ ΕΚΔΟΤΙΚΗ ΚΑ,ΕΥΒΟΙΑΣ 24,15344 ΑΓ ΠΑΡΑΣΚΕΥΗ,-,-,-,-,"912.703,97","383.044,36","1.295.748,33",.
093587017,Α ΒΑΛΑΒΑΝΗΣ Ε ΜΑΚΡΗ  ΣΙΑ ΕΕ,ΑΡΜΟΝΙΑΣ ΚΑΙ ΔΑΝΑΗΣ 7,16671 ΒΟΥΛΙΑΓΜΕΝΗ,-,-,-,-,"455.976,22","839.261,05","1.295.237,27",.
095025551,ΑΝΑΣΤΑΣΟΠΟΥΛΟΣ Δ ΙΑΤΡΟΥΚ,ΑΝΘΕΩΝ 63,11143 ΑΘΗΝΑ,"199.120,83",-,"573.844,30","772.965,13","180.261,39","341.857,38","522.118,77",.
094186385,ΠΡΟΠΟΝΤΙΣ ΜΕΡΙΜΝΑ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ ΑΣΦΑΛΕΙΩΝ,ΘΑΡΥΠΟΥ 2,11745 ΑΘΗΝΑ,"442.968,50",-,"851.524,80","1.294.493,30",-,-,-,.
094274730,ΠΑΡΑΓΩΓΙΚΗ ΘΡΑΚΗΣ Α Ε,ΑΓΧΙΑΛΟΥ 3,68100 ΑΛΕΞΑΝΔΡΟΥΠΟΛΗ,"383.638,46",-,"128.634,45","512.272,91","516.518,56","264.522,07","781.040,63",.
082004609,ΒΟΥΤΣΗΣ ΚΩΝ ΣΙΑ,ΓΑΡΙΒΑΛΔΗ 8,45221 ΙΩΑΝΝΙΝΑ,"471.361,01",-,"821.898,59","1.293.259,60",-,-,-,.
999373529,ΕΛΛΗΝΙΚΗ ΕΤΑΙΡΕΙΑ ΜΕΤΑΦΟΡΩΝ ΑΘ,ΕΛ ΒΕΝΙΖΕΛΟΥ ΚΑΙ ΣΚΟΡΔΑ 1,19200 ΕΛΕΥΣΙΝΑ,-,-,-,-,"532.492,45","760.725,18","1.293.217,63",.
081639920,ΠΑΥΛΟΣ ΑΓΓΕΛΑΚΗΣ ΠΑΡΑΓΩΓΗ ΚΑΙ ΕΜΠΟΡΙΑ ΛΕΥΚΩΝ ΕΙΔΩΝ ΠΑΡΟΧΗ ΚΤΗΜΑΤΟΜΕΣΙΤΙΚΩΝ ΥΠΗΡΕΣΙΩΝ ΚΑΙ ΚΑΤΑΣΚΕΥΑΣΤ,ΕΜΜΑΝ ΠΑΠΑΔΑΚΗ 14,14121 ΗΡΑΚΛΕΙΟ,"253.339,94",-,"207.870,18","461.210,12","389.851,58","441.789,45","831.641,03",.
095137825,LASCRE LTD,ΡΟΔΟΥ 22,15122 ΜΑΡΟΥΣΙ,"430.503,96",-,"862.303,27","1.292.807,23",-,-,-,.
095627457,ΚΟΡΣΑΡΟ ΕΠΕ,ΔΗΜΗΤΡΑΤΟΥ 12,18233 ΑΓ Ι ΡΕΝΤΗΣ,"75.568,12","244.862,65","356.571,73","677.002,50","212.503,91","402.841,11","615.345,02",.
