A.F.M.,Stoixeia Ofeileti,Dieythynsi Edras,"T.K., Perioxi","Basiki ofeili D.O.Y.,Elegktika Kentra",Basiki ofeili Teloneion,Syneisprattomena Dimosiou,Synolo Dimosiou,Basiki ofeili e-E.F.K.A.,Syneisprattomena e-E.F.K.A.,Synolo e-E.F.K.A.,Paratiriseis,Syntetagmenes
94117590,ΕΛ ΜΕΣΙΤΙΔΟΥ,ΤΕΡΜΑ ΑΓ ΠΑΝΤΩΝ 0,57200 ΛΑΓΚΑΔΑΣ,"477.598,84",-,"955.214,58","1.432.813,42",-,-,-,.,"(40.7512099, 23.0695911)"
999215017,LIBERTY SOLUTIONS SECURITY SERVICES ΙΔΙΩΤΙΚΗ ΕΠΙΧΕΙΡΗΣΗ ΠΑΡΟΧΗΣ ΥΠΗΡΕΣΙΩΝ ΑΣΦΑΛΕΙΑΣ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ,ΑΛΕΞΑΝΔΡΟΥΠΟΛΕΩΣ 23,11527 ΑΘΗΝΑ,"578.873,96",-,"380.589,52","959.463,48","259.412,41","213.618,75","473.031,16",.,"(37.982202, 23.7599002)"
99602097,ALUMINET ΜΟΝΟΠΡΟΣΩΠΗ ΕΤΑΙΡΕΙΑ ΠΕΡΙΟΡΙΣΜΕΝΗΣ ΕΥΘΥΝΗΣ,ΜΗΤΡΟΠΟΛΕΩΣ 43,15124 ΜΑΡΟΥΣΙ,"478.432,52",-,"953.994,64","1.432.427,16",-,-,-,.,"(38.0547076, 23.8109967)"
94398751,PRISMA BLOC ΑΝΩΝΥΜΟΣ ΒΙΟΜΗΧΑΝΙΚΗ ΕΤΑΙΡΕΙΑ ΤΣΙΜΕΝΤΟΠΡΟΙΟΝΤΩΝ,17 ΧΙΛ ΑΘΗΝ ΣΠΑΤΩ 0,15351 ΠΑΛΛΗΝΗ,"506.624,35",-,"561.724,83","1.068.349,18","179.123,06","184.864,27","363.987,33",.,"(38.0082992, 23.853406)"
93427661,ΓΕΩΡΓΙΟΣ ΦΕΡΤΑΚΗΣ ΚΑΙ ΓΕΩΡΓΙΟΣ ΚΑΛΑΝΤΖΑΚΟΣ ΕΕ,ΗΠΕΙΡΟΥ 32,15231 ΧΑΛΑΝΔΡΙ,"476.520,74",-,"955.089,76","1.431.610,50",-,-,-,.,"(38.0080573, 23.7955001)"
999672820,ΑΠ ΚΑΡΑΙΔΗΣ ΚΑΙ ΣΙΑ ΟΕ ΥΠΟ ΕΚΚΑΘΑΡΙΣΗ,ΑΕΡΟΔΡΟΜΙΟΥ 108,57013 ΩΡΑΙΟΚΑΣΤΡΟ,"742.615,37",-,"688.830,55","1.431.445,92",-,-,-,.,"(40.6966751, 22.9242929)"
95603017,ΕΜΠΟΡΙΑ ΧΑΡΤΟΥ ΔΙΜΕΛΗ ΕΠΕ,ΜΠΟΥΜΠΟΥΛΙΝΑΣ 28,18535 ΠΕΙΡΑΙΑΣ,"476.644,13",-,"954.429,80","1.431.073,93",-,-,-,.,"(37.9407085, 23.6460833)"
94254085,NG ENTERPRISES AE ΕΙΣΑΓΩΓΕΣ ΕΞΑΓΩΓΕΣ ΕΜΠΟΡΙΑ ΑΥΤΟΚΙΝΗΤΩΝ ΑΝΤΑΛΛΑΚΤΙΚΩΝ ΑΝΩΝΥΜΗ ΕΜΠΟΡΙΚΗ ΚΑΙ ΒΙΟΜΗΧΑΝ,ΕΛ ΒΕΝΙΖΕΛΟΥ ΘΗΣΕΩΣ 4-6,17671 ΚΑΛΛΙΘΕΑ,"616.044,42",-,"814.367,18","1.430.411,60",-,-,-,.,"(37.9626403, 23.716213)"
999840369,ΠΡΑΞΙΛΛΑ   ΣΥΜΒΟΥΛΟΙ ΜΗΧΑΝΙΚΟΙ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ,ΜΠΑΚΟΥ  ΚΑΙ  ΚΑΡΠΕΝΗΣΙΩΤΗ 62,11524 ΑΘΗΝΑ,"237.622,59",-,"264.127,27","501.749,86","432.180,49","496.429,38","928.609,87",.,"(38.0016633, 23.7597943)"
91933003,ΖΗΣΙΜΟΣ ΠΑΝΤΑΖΟΠΟΥΛΟΣ ΣΙΑ ΟΕ,ΜΟΝΗΣ ΙΒΗΡΩΝ 0,26333 ΠΑΤΡΑ,"622.894,03",-,"806.899,68","1.429.793,71",-,-,-,.,"(38.2080201, 21.7202585)"
